Order ID,Order Item ID,Order YearMonth,Order Quantity,Product Department,Product Category,Product Name,Customer ID,Customer Market,Customer Region,Customer Country,Warehouse Country,Shipment Mode,Shipment Days - Scheduled,Gross Sales,Discount %,Profit,Order Datetime,Shipment Datetime,Order Processing Time
37395,93346,201606,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,916,North America,East of USA,USA,Puerto Rico,Standard Class,4,400,0.01,200,2016-06-29 20:47:00,2016-07-05,5
37395,93345,201606,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,916,North America,East of USA,USA,Puerto Rico,Standard Class,4,400,0.02,200,2016-06-29 20:47:00,2016-07-05,5
37553,93731,201607,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7840,North America,South of  USA,USA,Puerto Rico,Standard Class,4,400,0.15,200,2016-07-02 04:08:00,2016-07-06,3
39986,99770,201608,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,752,North America,East of USA,USA,Puerto Rico,Standard Class,4,400,0.13,200,2016-08-06 16:31:00,2016-08-08,1
39986,99769,201608,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,752,North America,East of USA,USA,Puerto Rico,Standard Class,4,400,0.15,200,2016-08-06 16:31:00,2016-08-08,1
41215,102872,201608,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6025,North America,East of USA,USA,Puerto Rico,Standard Class,4,400,0.1,200,2016-08-24 15:06:00,2016-08-30,5
43246,108032,201609,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2496,Europe,Eastern Europe,Hungary,Puerto Rico,Standard Class,4,400,0.02,200,2016-09-23 06:38:00,2016-09-25,1
43598,108882,201609,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3740,Africa,North Africa,Sudan,Puerto Rico,Standard Class,4,400,0.15,200,2016-09-28 09:58:00,2016-10-02,3
43598,108883,201609,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3740,Africa,North Africa,Sudan,Puerto Rico,Standard Class,4,400,0.13,200,2016-09-28 09:58:00,2016-10-02,3
49275,123192,201612,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7860,Africa,Central Africa,Democratic Republic of Congo,Puerto Rico,Standard Class,4,400,0.07,200,2016-12-20 06:52:00,2016-12-26,5
49291,123227,201612,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7360,Europe,Eastern Europe,Poland,Puerto Rico,Standard Class,4,400,0.03,200,2016-12-20 12:28:00,2016-12-22,1
49558,123846,201612,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8378,Africa,West Africa,Togo,Puerto Rico,Standard Class,4,400,0.04,200,2016-12-24 10:01:00,2016-12-28,3
53626,134051,201702,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10401,LATAM,Central America,Guatemala,Puerto Rico,Standard Class,4,400,0.07,200,2017-02-21 19:13:00,2017-02-23,1
55853,139664,201703,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4633,LATAM,Central America,Panama,Puerto Rico,Standard Class,4,400,0.18,200,2017-03-26 07:26:00,2017-03-30,3
59071,147842,201705,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,667,LATAM,South America,Chile,Puerto Rico,Standard Class,4,400,0.17,200,2017-05-12 06:51:00,2017-05-14,1
59336,148547,201705,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7862,LATAM,South America,Brazil,Puerto Rico,Standard Class,4,400,0.07,200,2017-05-16 03:41:00,2017-05-18,1
59346,148572,201705,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5165,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,400,0.03,200,2017-05-16 07:11:00,2017-05-18,1
63558,158874,201707,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6790,Europe,Western Europe,France,Puerto Rico,Standard Class,4,400,0.06,200,2017-07-16 18:50:00,2017-07-20,3
63558,158873,201707,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6790,Europe,Western Europe,France,Puerto Rico,Standard Class,4,400,0.07,200,2017-07-16 18:50:00,2017-07-20,3
63575,158913,201707,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10046,Europe,Northern Europe,Sweden,Puerto Rico,Standard Class,4,400,0.03,200,2017-07-17 00:48:00,2017-07-23,5
63601,158976,201707,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,75,Europe,Western Europe,Netherlands,Puerto Rico,Standard Class,4,400,0.17,200,2017-07-17 09:54:00,2017-07-19,1
63921,159791,201707,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5841,Europe,Western Europe,France,Puerto Rico,Standard Class,4,400,0.1,200,2017-07-22 02:01:00,2017-07-24,1
67823,169569,201709,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1399,Europe,Western Europe,Germany,Puerto Rico,Standard Class,4,400,0.03,200,2017-09-17 01:04:00,2017-09-21,3
67833,169600,201709,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7904,Europe,Western Europe,France,Puerto Rico,Standard Class,4,400,0.0,200,2017-09-17 04:34:00,2017-09-21,3
4305,10781,201504,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5605,LATAM,Caribbean,Dominican Republic,Puerto Rico,Same Day,3,400,0.02,200,2015-04-13 11:25:00,2015-04-13,0
4305,10784,201504,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5605,LATAM,Caribbean,Dominican Republic,Puerto Rico,Same Day,3,400,0.01,200,2015-04-28 13:40:00,2015-05-04,5
7725,19313,201506,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7223,LATAM,South America,Venezuela,Puerto Rico,Second Class,2,400,0.1,200,2015-06-13 02:02:00,2015-06-17,3
21968,54943,201510,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,509,Pacific Asia,Eastern Asia,South Korea,Puerto Rico,Second Class,2,400,0.12,200,2015-10-27 12:22:00,2015-10-29,1
65258,163081,201707,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1011,Europe,Western Europe,France,Puerto Rico,Same Day,3,400,0.12,200,2017-07-02 13:15:00,2017-07-06,3
558,1395,201708,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4562,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.04,200,2017-08-18 01:48:00,2017-08-24,5
6536,16341,201503,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,12024,LATAM,South America,Brazil,Puerto Rico,First Class,1,400,0.12,200,2015-03-04 19:52:00,2015-03-05,0
15811,39522,201508,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3953,Europe,Western Europe,Germany,Puerto Rico,First Class,1,400,0.02,200,2015-08-10 17:44:00,2015-08-12,1
21888,54740,201510,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5389,Pacific Asia,South Asia,India,Puerto Rico,First Class,1,400,0.13,200,2015-10-28 03:47:00,2015-11-01,3
33331,83264,201601,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1282,North America,US Center,USA,Puerto Rico,Second Class,2,400,0.12,200,2016-01-23 11:53:00,2016-01-25,1
33331,83261,201601,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1282,North America,US Center,USA,Puerto Rico,Second Class,2,400,0.15,200,2016-01-27 17:50:00,2016-01-29,1
33331,83262,201601,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1282,North America,US Center,USA,Puerto Rico,Second Class,2,400,0.13,200,2016-01-30 00:08:00,2016-02-02,2
41283,103046,201607,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1011,North America,West of USA,USA,Puerto Rico,First Class,1,400,0.1,200,2016-07-08 21:38:00,2016-07-10,1
41521,103641,201607,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10802,Africa,East Africa,Madagascar,Puerto Rico,Second Class,2,400,0.18,200,2016-07-29 11:16:00,2016-07-31,1
47001,117452,201610,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2083,Pacific Asia,South Asia,Iran,Puerto Rico,First Class,1,400,0.25,200,2016-10-17 17:49:00,2016-10-20,2
47001,117454,201611,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2083,Pacific Asia,South Asia,Iran,Puerto Rico,First Class,1,400,0.2,200,2016-11-06 09:23:00,2016-11-10,3
51806,129433,201612,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2929,LATAM,Caribbean,Cuba,Puerto Rico,Second Class,2,400,0.18,200,2016-12-24 09:40:00,2016-12-26,1
53548,133823,201701,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,896,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.06,200,2017-01-28 14:00:00,2017-01-30,1
59506,148940,201706,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10401,LATAM,Central America,Nicaragua,Puerto Rico,Second Class,2,400,0.01,200,2017-06-11 01:12:00,2017-06-17,5
61886,154689,201707,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,94,Europe,Northern Europe,United Kingdom,Puerto Rico,Second Class,2,400,0.16,200,2017-07-30 14:58:00,2017-08-01,1
4135,10328,201501,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10041,LATAM,Central America,Nicaragua,Puerto Rico,Second Class,2,400,0.07,200,2015-01-30 05:02:00,2015-02-02,2
4991,12496,201502,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3211,LATAM,South America,Brazil,Puerto Rico,First Class,1,400,0.16,200,2015-02-07 00:28:00,2015-02-10,2
6393,16006,201502,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8861,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.09,200,2015-02-10 02:23:00,2015-02-14,3
6393,16004,201502,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8861,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.1,200,2015-02-13 23:35:00,2015-02-18,4
19948,49860,201504,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2914,Europe,Western Europe,Germany,Puerto Rico,Same Day,3,400,0.07,200,2015-04-12 09:50:00,2015-04-16,3
23221,58145,201504,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3765,Pacific Asia,South Asia,Afghanistan,Puerto Rico,Second Class,2,400,0.03,200,2015-04-22 14:44:00,2015-04-23,0
23295,58324,201504,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9992,Pacific Asia,Southeast Asia,Singapore,Puerto Rico,Same Day,3,400,0.0,200,2015-04-25 04:44:00,2015-04-30,4
31296,78227,201506,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2546,Pacific Asia,Southeast Asia,Indonesia,Puerto Rico,Second Class,2,400,0.06,200,2015-06-08 02:55:00,2015-06-12,3
31296,78228,201506,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2546,Pacific Asia,Southeast Asia,Indonesia,Puerto Rico,Second Class,2,400,0.05,200,2015-06-12 08:52:00,2015-06-17,4
47568,118917,201510,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10677,Africa,North Africa,Morocco,Puerto Rico,First Class,1,400,0.05,200,2015-10-22 12:33:00,2015-10-25,2
53321,133227,201511,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,925,LATAM,Central America,Mexico,Puerto Rico,Second Class,2,400,0.07,200,2015-11-27 16:00:00,2015-11-29,1
53321,133228,201512,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,925,LATAM,Central America,Mexico,Puerto Rico,Second Class,2,400,0.06,200,2015-12-05 23:00:00,2015-12-07,1
57561,143993,201601,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2848,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.07,200,2016-01-15 20:18:00,2016-01-18,2
63003,157534,201602,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3827,Europe,Northern Europe,United Kingdom,Puerto Rico,Second Class,2,400,0.1,200,2016-02-19 12:23:00,2016-02-22,2
63003,157536,201602,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3827,Europe,Northern Europe,United Kingdom,Puerto Rico,Second Class,2,400,0.09,200,2016-02-20 08:42:00,2016-02-26,5
65931,164762,201603,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2896,Europe,Southern Europe,Spain,Puerto Rico,First Class,1,400,0.09,200,2016-03-10 05:41:00,2016-03-12,1
67613,169049,201603,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10620,Europe,Northern Europe,United Kingdom,Puerto Rico,Second Class,2,400,0.03,200,2016-03-22 10:35:00,2016-03-27,4
853,2118,201603,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5542,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,400,0.16,200,2016-03-25 19:31:00,2016-03-31,5
1391,3438,201604,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5994,LATAM,Central America,Nicaragua,Puerto Rico,Standard Class,4,400,0.15,200,2016-04-01 18:37:00,2016-04-04,2
11341,28361,201607,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10653,Europe,Western Europe,Netherlands,Puerto Rico,Standard Class,4,400,0.01,200,2016-07-11 11:18:00,2016-07-17,5
15306,38275,201608,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2447,Europe,Western Europe,Germany,Puerto Rico,Standard Class,4,400,0.18,200,2016-08-09 17:44:00,2016-08-15,5
27553,68970,201610,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4560,Pacific Asia,South Asia,India,Puerto Rico,Standard Class,4,400,0.13,200,2016-10-15 22:23:00,2016-10-19,3
37086,92530,201612,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10620,North America,South of  USA,USA,Puerto Rico,Standard Class,4,400,0.01,200,2016-12-24 15:58:00,2016-12-30,5
41573,103771,201702,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6840,Africa,West Africa,Niger,Puerto Rico,Standard Class,4,400,0.04,200,2017-02-17 08:22:00,2017-02-19,1
45095,112607,201703,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4511,Pacific Asia,West Asia,Turkey,Puerto Rico,Standard Class,4,400,0.06,200,2017-03-28 13:02:00,2017-03-30,1
47615,119046,201704,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,344,Africa,Southern Africa,South Africa,Puerto Rico,Standard Class,4,400,0.12,200,2017-04-01 15:50:00,2017-04-05,3
49575,123891,201704,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5477,Pacific Asia,West Asia,Iraq,Puerto Rico,Standard Class,4,400,0.01,200,2017-04-12 08:59:00,2017-04-15,2
49575,123894,201704,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5477,Pacific Asia,West Asia,Iraq,Puerto Rico,Standard Class,4,400,0.0,200,2017-04-12 13:12:00,2017-04-17,4
55551,138941,201706,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2793,LATAM,Central America,Mexico,Puerto Rico,Standard Class,4,400,0.06,200,2017-06-13 15:12:00,2017-06-15,1
57891,144846,201708,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8917,LATAM,Central America,Honduras,Puerto Rico,Standard Class,4,400,0.0,200,2017-08-13 23:21:00,2017-08-18,4
65801,164452,201709,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8323,Europe,Western Europe,Germany,Puerto Rico,Standard Class,4,400,0.1,200,2017-09-11 12:59:00,2017-09-13,1
13965,34947,201504,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9116,Europe,Southern Europe,Italy,Puerto Rico,Second Class,2,400,0.18,200,2015-04-23 15:15:00,2015-04-25,1
31085,77682,201509,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8546,Pacific Asia,Oceania,Australia,Puerto Rico,Same Day,3,400,0.15,200,2015-09-12 00:20:00,2015-09-14,1
31085,77683,201509,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8546,Pacific Asia,Oceania,Australia,Puerto Rico,Same Day,3,400,0.13,200,2015-09-17 16:37:00,2015-09-19,1
33398,83398,201510,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9876,North America,West of USA,USA,Puerto Rico,Second Class,2,400,0.12,200,2015-10-03 05:44:00,2015-10-05,1
35505,88682,201512,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6421,North America,East of USA,USA,Puerto Rico,Second Class,2,400,0.2,200,2015-12-16 17:33:00,2015-12-21,4
39648,98958,201601,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10391,North America,East of USA,USA,Puerto Rico,Second Class,2,400,0.05,200,2016-01-15 17:30:00,2016-01-17,1
43918,109699,201602,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6282,Africa,West Africa,Cote d Ivoire,Puerto Rico,Same Day,3,400,0.16,200,2016-02-18 17:48:00,2016-02-20,1
53513,133728,201605,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10785,LATAM,Caribbean,Dominican Republic,Puerto Rico,Same Day,3,400,0.13,200,2016-05-08 00:11:00,2016-05-10,1
61078,152787,201606,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8711,LATAM,South America,Venezuela,Puerto Rico,Second Class,2,400,0.0,200,2016-06-02 06:37:00,2016-06-08,5
63918,159783,201610,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6883,Europe,Western Europe,France,Puerto Rico,Second Class,2,400,0.13,200,2016-10-18 18:42:00,2016-10-20,1
67608,169034,201611,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1459,Europe,Southern Europe,Italy,Puerto Rico,Same Day,3,400,0.05,200,2016-11-21 00:05:00,2016-11-26,4
856,2130,201611,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9876,LATAM,Central America,Mexico,Puerto Rico,Second Class,2,400,0.15,200,2016-11-28 13:33:00,2016-11-30,1
2531,6336,201612,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6080,LATAM,Central America,Nicaragua,Puerto Rico,Second Class,2,400,0.18,200,2016-12-07 11:58:00,2016-12-09,1
7935,19828,201703,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9992,LATAM,Central America,Mexico,Puerto Rico,First Class,1,400,0.1,200,2017-03-12 01:09:00,2017-03-14,1
8305,20748,201703,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6539,LATAM,Central America,Honduras,Puerto Rico,First Class,1,400,0.13,200,2017-03-20 06:45:00,2017-03-26,5
8305,20749,201704,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,6539,LATAM,Central America,Honduras,Puerto Rico,First Class,1,400,0.12,200,2017-04-09 07:25:00,2017-04-11,1
8986,22414,201704,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,10996,LATAM,Central America,Guatemala,Puerto Rico,Second Class,2,400,0.2,200,2017-04-16 02:20:00,2017-04-18,1
13321,33342,201705,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5513,Europe,Northern Europe,United Kingdom,Puerto Rico,First Class,1,400,0.18,200,2017-05-25 09:48:00,2017-05-27,1
19331,48337,201708,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4562,Europe,Western Europe,Germany,Puerto Rico,Second Class,2,400,0.07,200,2017-08-02 17:14:00,2017-08-03,0
27306,68392,201508,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,3740,Pacific Asia,South Asia,Pakistan,Puerto Rico,First Class,1,400,0.04,200,2015-08-20 22:37:00,2015-08-26,5
27535,68923,201508,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,5053,Pacific Asia,Eastern Asia,China,Puerto Rico,First Class,1,400,0.03,200,2015-08-23 09:49:00,2015-08-28,4
31318,78288,201510,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,94,North America,US Center,USA,Puerto Rico,First Class,1,400,0.25,200,2015-10-29 12:43:00,2015-11-01,2
31501,78718,201511,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,7101,North America,South of  USA,USA,Puerto Rico,Second Class,2,400,0.0,200,2015-11-11 17:46:00,2015-11-14,2
35038,87512,201604,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,11612,North America,East of USA,USA,Puerto Rico,First Class,1,400,0.04,200,2016-04-22 16:19:00,2016-04-27,4
35038,87514,201605,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,11612,North America,East of USA,USA,Puerto Rico,First Class,1,400,0.03,200,2016-05-02 12:27:00,2016-05-06,3
39383,98328,201605,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8810,North America,South of  USA,USA,Puerto Rico,First Class,1,400,0.17,200,2016-05-22 13:28:00,2016-05-24,1
39826,99377,201605,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,8511,North America,West of USA,USA,Puerto Rico,First Class,1,400,0.0,200,2016-05-22 13:28:00,2016-05-24,1
49358,123378,201610,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,1883,Europe,Southern Europe,Croatia,Puerto Rico,First Class,1,400,0.09,200,2016-10-03 02:04:00,2016-10-03,0
55345,138408,201702,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,11118,LATAM,South America,Brazil,Puerto Rico,First Class,1,400,0.2,200,2017-02-20 03:38:00,2017-02-20,0
5986,14905,201501,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,4138,LATAM,South America,Ecuador,Puerto Rico,Standard Class,4,400,0.09,200,2015-01-01 21:22:00,2015-01-04,2
